This file was created by CMPT_IND_RETS using the 201412 CRSP database.
It contains value- and equal-weighted returns for 12 industry portfolios.

The portfolios are constructed at the end of June.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
        NoDur  Durbl  Manuf  Enrgy  Chems  BusEq  Telcm  Utils  Shops  Hlth   Money  Other
193507   3.15  19.08  13.75   0.13   5.10  11.56   5.74   9.22   7.51   3.19   8.06   7.03
193508  -1.56   9.01   2.35  -1.89   4.41   3.82   4.07   7.21   3.09   0.29   5.67   2.70
193509   1.69  11.09   3.21  -3.33   6.12   7.97   4.28  -2.03  -0.57   1.11  -1.82   1.40
193510   4.49  13.63   7.44  13.52   3.38   9.28   3.11  14.13   1.22   5.97   8.01   0.68
193511   1.11   3.49   5.86   2.78   1.63   7.50   9.72   0.82   2.92   1.74  12.69  13.36
193512   2.08   5.80   4.69  14.09   1.41   4.38  -0.16   5.62  -1.02   2.35   5.46   3.93
193601   3.24   3.89   5.82  14.06   4.77   7.34   4.17  12.53  -2.81   3.46   6.55  14.01
193602   0.61   3.74   7.15   1.26   2.35   0.13   6.57  -6.59   0.99   3.45  -0.86   3.93
193603  -2.08  10.19   2.48   1.75   2.67  -0.91  -3.37   0.64   1.14   3.52  -2.29  -3.16
193604  -4.45 -10.15  -9.97 -10.28  -6.77  -8.91  -5.66  -8.34  -5.24  -9.19  -7.58  -7.38
193605   4.97   4.06   6.45  -0.57   5.45   5.57   6.46   9.52   6.70   4.80  13.05   5.71
193606   2.32   6.86   0.03   1.73   4.03   0.61   2.43   3.62   5.29   1.29   3.70   1.16
193607   2.97   4.91   7.37   4.74   8.15  12.98   2.44  11.59   6.21   4.65   7.16  10.50
193608   0.84  -0.28   3.01  -0.67  -1.12   3.04   1.76  -1.03   2.49  -1.48   0.21   2.37
193609  -0.66   3.26   1.87   1.39   1.91  -0.91   0.33  -2.05   2.94   0.77   2.30   0.43
193610   3.37   5.08   8.22  12.48   6.26   6.37   5.09   5.72  11.22   3.78   5.49   8.98
193611   4.53  -1.37   5.91   1.48   4.53   5.51   3.87  -2.86  11.00   3.40   5.96  -1.26
193612  -1.40  -7.24   3.52   9.24  -1.51   3.25  -0.40  -1.63  -8.14  -2.04  -2.65  -0.68
193701   2.45   7.27   5.14   2.41   2.76  10.24  -0.85   2.61   0.07   3.47   0.48   1.23
193702   0.89  -0.50   4.29   1.49  -0.89  -1.56  -3.06  -4.19   3.06  -3.72  -0.38   6.43
193703  -1.01  -4.13   2.74   3.39  -2.01  -4.74  -2.09  -6.32  -2.73  -5.03  -3.63   4.60
193704  -6.38  -7.90 -11.26  -5.30  -4.07  -7.79  -5.25  -7.47  -7.24  -3.32  -6.85  -6.83
193705  -0.44  -1.97   1.09  -0.24   1.69  -0.56   1.53  -5.27  -4.54   1.68  -3.27  -3.34
193706  -3.24 -10.77  -3.64  -2.66  -3.16  -1.80   1.39  -5.26  -1.59  -4.12  -4.95 -10.05
193707   5.07  13.23  10.73   8.42   5.41  10.27   3.27  19.32  10.33   4.14  16.22   6.30
193708  -2.47  -2.27  -4.74  -6.57  -3.02  -5.81  -2.54 -10.18  -4.27   1.09 -15.07  -5.95
193709  -9.12 -12.67 -20.36 -13.21  -9.60 -15.44  -2.10 -11.75 -14.10 -10.76 -14.58 -16.31
193710  -7.05 -12.88 -14.65  -6.95 -11.37  -7.70  -5.36  -4.88  -7.04  -3.55  -8.35 -10.71
193711  -5.86 -15.24  -9.25 -11.48  -9.39  -3.92  -3.59   2.90 -14.36  -5.12  -7.39  -6.67
193712  -2.26 -16.27  -3.41  -1.25   0.41  -3.55  -1.54 -10.69  -6.55  -2.41  -7.02  -6.50
193801   2.86  11.05  -1.35   0.51  -0.99  -2.74  -2.43  -5.70   5.92   3.52  -0.23   0.73
193802   3.48   3.47   8.75   9.42   7.39   5.37  -2.32   3.64   9.50   8.61   6.70   4.30
193803 -15.78 -27.35 -27.34 -25.20 -22.22 -28.81 -17.44 -19.61 -22.19 -14.44 -25.19 -31.24
193804  12.28  14.85  17.53  15.92   8.23  16.00  13.47  14.78  16.18  11.82  16.56  13.81
193805  -0.23  -6.92  -8.52  -5.82  -3.25  -3.14   0.83   2.21  -3.86   1.71  -5.14  -3.53
193806  13.23  36.01  34.94  21.98  27.55  29.00  12.42  16.90  24.03  10.07  26.37  24.31
193807   6.61  19.89   6.93   7.38   6.29   6.10   1.28   0.68   9.06   5.80   8.89  10.36
193808  -4.02   5.97  -3.11  -8.82   0.22  -0.83   0.28  -5.53  -2.40   0.36  -4.09  -3.61
193809   0.51   0.69   1.27   0.82   2.49   1.45   0.85   1.23   0.06  -0.01   0.03  -1.66
193810   5.15   6.49  12.14  -1.56   7.17  11.12   3.56  21.09   8.04   5.63   9.45  11.64
193811  -2.49  -1.20  -1.83  -0.11  -0.63  -4.95   0.65  -7.01  -0.37   1.44  -1.46  -2.20
193812   2.76   2.12   5.68   4.86   5.20   3.01   2.57   3.95   1.03   0.85   0.83   8.08
193901  -1.90  -8.33 -10.99  -6.29  -5.81  -7.78   1.81   1.21  -3.14  -0.96  -6.12  -9.40
193902   2.46   7.06   3.83  -1.18   1.11   3.45   3.53   8.78   6.20   3.72   4.31   4.82
193903  -5.74 -17.63 -19.26  -8.31  -7.60 -16.96  -2.21 -13.63  -9.59  -4.33 -11.93 -15.88
193904   0.62   0.72  -1.90  -1.06  -1.34  -1.14   2.75   3.03  -0.13   1.00  -3.33  -1.35
193905   5.47   7.89   8.92   2.56   6.19   7.14   5.57   6.61  11.38   5.49   8.83   7.76
193906  -2.04  -6.78  -8.69  -6.12  -2.32  -8.79  -3.79  -3.55  -2.70   1.10  -5.31  -8.35
193907   6.23  17.58  14.38   3.03  10.08  15.38   6.51  12.71   8.71   3.08  11.12  11.73
193908  -7.36  -6.94  -9.12  -3.91  -2.68  -9.09  -4.19  -6.01  -7.33  -5.43  -9.32 -10.17
193909   4.79  23.72  32.37  25.56  15.69  15.99   2.37   3.60   1.59   7.07  12.27  29.80
193910   3.26  -1.40  -2.31  -3.93  -2.42  -1.81   3.05   2.11   5.77   0.21  -0.11  -1.99
193911  -0.47  -2.92  -7.70  -6.14  -2.38  -3.35   0.97  -1.49  -2.31   1.22  -0.45  -6.32
193912   3.18   3.88   3.48  -0.08   4.59   3.92   2.87   2.95   3.03   3.77   2.77   2.26
194001   1.69  -3.83  -6.24  -2.19  -1.96  -4.27  -0.12  -0.05  -0.95  -1.79   0.56  -3.62
194002   0.94   2.08   2.32   0.97   2.53   0.40   1.04  -1.24   2.51   1.48   0.39   1.02
194003   1.65   3.78   1.14   1.72   2.12   3.38   1.16   1.74   3.08   1.90   2.51   2.67
194004   1.75  -0.54   0.84   0.18   0.86  -2.38   0.33  -1.35  -0.13  -0.31  -0.90  -0.73
194005 -20.87 -26.04 -23.73 -24.47 -19.59 -21.19 -14.13 -19.94 -24.41 -21.21 -26.13 -23.36
194006   5.39   8.68   3.40   5.67   4.62   4.46   8.72  17.43   9.01   4.91   6.55   9.16
194007  -0.01   5.92   4.98   3.19   3.15   5.68   1.97   0.08   4.39  -0.52   4.71   3.02
194008   1.34   7.39   3.19   1.42   1.78   2.72  -0.36  -1.04   2.90  -2.29   2.42   3.01
194009   2.53   3.17   4.63  -2.26   3.34   4.42   1.66  -2.19   3.32   4.61  -0.41   3.23
194010  -1.41   3.94   7.93   6.30  -1.71   2.27   1.61   3.82   0.08  -3.00   6.35   5.03
194011  -0.97  -0.63   0.74   0.87  -4.64  -4.09   0.61 -13.06  -2.15  -1.82   0.25  -0.18
194012   0.55  -3.29   0.51   2.31   2.06   0.35   2.04   1.76   0.43  -0.23  -3.16   1.14
194101  -0.49  -9.22  -7.41  -2.14  -6.32  -2.24  -2.10  -2.16  -3.63  -2.19  -1.21  -1.72
194102  -2.49   1.27  -1.61  -0.69  -2.66  -0.26  -2.23  -1.20  -2.53  -4.69  -0.62  -0.23
194103   0.57  -1.70   0.16   3.74   2.03  -0.21   1.78  -3.33   1.21   1.77   0.11   2.24
194104  -4.12 -10.57  -6.97   1.40  -3.82  -8.85  -6.35  -9.61  -5.22  -5.22  -7.45  -3.71
194105  -1.40   0.41   3.74   5.46   3.09  -0.24   0.40  -4.43   2.27  -1.45  -2.25  -0.62
194106   6.30   3.90   6.15   5.22   7.44  10.57   5.04   3.94   5.10   6.72   4.14   4.59
194107   5.53   3.97   7.85  11.06   5.67   1.35  -0.38   5.33   4.74   8.03   7.60   7.50
194108   0.83   2.34  -0.79  -3.46  -0.36   0.85   1.06  -2.06   2.37   0.08   0.31   0.17
194109   1.78   4.14  -3.14  -0.66  -2.02  -1.51   0.25  -2.85   0.43  -0.21   0.54  -3.29
194110  -7.01  -7.98  -6.74   2.19  -5.98 -10.76  -2.72  -9.68  -5.20  -3.69  -5.98  -3.66
194111  -3.15  -3.64  -2.27   3.13   0.07  -2.33  -4.03  -6.68  -4.52  -2.93  -2.59  -1.29
194112  -3.95 -11.79   1.51 -11.10   0.14  -0.78  -8.59  -7.48  -9.83  -1.59  -7.53  -4.85
194201   2.55   6.25   1.29  -1.63  -7.70   2.01  -1.37   4.09   0.66  -2.99   5.77  10.38
194202  -5.49   5.15  -0.87  -5.83  -4.98  -2.54  -0.57  -2.45  -1.92  -5.35   0.24  -2.32
194203  -8.28   1.42  -4.65  -8.24  -7.55  -5.58  -6.91 -12.13  -7.09  -5.54  -6.26  -9.58
194204  -4.08  -4.37  -6.37  -3.57  -1.37  -3.39  -7.32  -3.42  -5.88  -4.45  -1.69  -2.07
194205   8.78   9.95   0.72   6.77   4.15   7.71   7.72   8.40  11.75  14.69   8.48   2.42
194206   3.55   1.77   3.04   4.42   4.78   3.75  -2.23   1.70   2.54   2.85   1.98   1.96
194207   2.42   2.10   3.50   6.05   1.43   1.91   4.48  -0.44   4.96   1.60   5.44   6.85
194208   0.80   2.33   1.22   3.54   0.97   1.82   2.49   0.80   1.71   2.43   1.84   2.54
194209  -0.06   2.59   2.86   2.36   4.35   4.58   2.04   5.83   0.67   0.26   2.23   3.64
194210   4.52   5.82   6.55   9.62   6.59   7.04   6.19  15.15   0.62   4.13   9.27   8.83
194211   2.73  -0.14  -3.69   0.91   0.44   1.49   2.63  -1.31   6.66   1.58   2.71  -3.11
194212   4.73   8.19   5.18   7.49   5.34   6.43   0.35   4.36   2.73   8.69   5.30   4.28
194301   9.14   5.24   8.31   6.40   4.71  10.90   3.78  14.70   6.92   2.47   6.73   7.14
194302   3.62   7.58   6.20   7.91   2.90   4.68   8.81   7.92   3.08   3.64   9.20   9.48
194303   4.36   5.06   8.30   7.00   2.43   7.42   0.62   4.67   8.68   4.56   9.60  10.18
194304   1.03   0.53  -1.78   0.97  -0.62   1.25   4.16   4.02   1.87   1.40   1.51   2.35
194305   6.56   6.58   4.66   5.69   6.48   6.54   4.57   4.55   7.49   5.13   8.53   4.91
194306   2.05   4.85   1.15   1.19   0.18   3.11   2.27   4.19   5.59   0.50   0.11  -0.99
194307  -1.86  -9.70  -7.00  -2.86  -6.06  -8.13  -0.18  -0.49  -3.15  -3.26  -4.30  -5.42
194308   0.94   3.48   0.50   1.10   0.63   1.06   0.91   1.84   3.74   0.26   1.05   1.50
194309   2.18   1.69   2.73   1.41   2.70   5.36   1.45   3.87   2.16   4.02   1.63   2.31
194310  -0.27  -1.12  -0.17  -2.06  -2.05  -3.68   0.73   0.56  -2.40   0.57  -0.92  -1.12
194311  -4.56  -5.32  -7.44  -6.93  -4.66  -6.62  -1.74  -8.38  -4.50  -3.93  -7.21  -8.16
194312   6.14   7.94   7.60   7.20   3.38   8.01   3.14   7.41   6.92   3.94   8.31   6.88
194401   3.97   1.02   2.57   0.61   0.62   0.84   0.86  -0.33   0.78   0.29   1.06   5.33
194402  -0.52   3.68   0.09   0.09  -1.00  -2.65   0.88   1.52   1.05  -2.64   0.22   2.49
194403   2.83   4.77   2.29   1.87   2.32   3.87   0.74   1.79   2.28   2.46   3.56   2.44
194404  -1.95  -1.18  -2.40  -1.37  -1.77  -1.29  -0.57  -0.92  -1.00  -2.36  -3.00  -2.32
194405   5.33   7.91   6.23   4.97   4.34   3.47   2.83   2.78   5.07   5.68   3.79   4.39
194406   5.64   9.31   7.89   0.53   5.42   8.09   3.25   4.91   5.83   3.85   8.30   5.40
194407  -0.35  -4.93  -1.86  -1.21  -2.17  -1.71  -0.37   0.20  -0.08  -1.24  -1.43  -0.66
194408   2.56   3.98   2.90  -1.94   0.70   2.17   0.67   3.66   3.12   0.76   1.93   0.00
194409  -0.22   0.61   0.64  -1.38   0.27  -0.66   0.27  -1.53   1.81   0.43  -0.07   0.15
194410  -0.02  -2.74  -0.57   1.87   0.40   0.52   0.75   1.36   0.44   1.09  -0.20   0.90
194411   1.27   2.22   1.71   2.63  -0.66   1.72   0.70  -0.40   2.79   0.52   0.68   5.13
194412   2.03   3.97   5.44   5.14   2.19   4.46   0.72   3.11   2.15   1.71   2.72   9.75
194501   2.64   1.37   2.81   4.92   2.34   1.04  -2.11   5.69   0.07   0.56   3.65  -0.03
194502   3.95   7.65   7.53   7.31   5.41   7.23   2.85   6.11   4.52   4.25   7.43   7.94
194503  -3.00  -6.03  -5.20  -5.25  -3.65  -4.17  -0.11  -3.09  -1.37  -1.83  -3.88  -3.45
194504   7.10  11.15   8.62   6.90   7.61   8.63   2.51  10.10   7.16   6.33   6.17   9.39
194505   2.44   0.78   0.83  -0.87   0.55   2.27   3.76   1.89   6.26   4.11   0.90   3.55
194506   0.89  -1.53   1.01  -0.50  -2.40  -2.10   2.62   5.16  -3.14  -4.65   3.62   4.63
194507  -1.44  -0.98  -3.34  -3.23  -2.44  -1.35   2.18  -0.33  -0.11  -1.62  -3.31  -5.89
194508   7.73   9.41   8.57   2.22   9.15  10.12   1.74   1.03   8.22   9.19   8.99   1.26
194509   6.28   2.74   6.31   1.98   6.15   2.61   1.90   6.59   5.64   6.51   1.84   7.01
194510   6.77   0.20   3.71   6.33   0.33  -0.69   2.36   6.18   5.96   6.61   7.31   5.44
194511   3.69   2.62   5.50   8.37   3.07   3.09   3.39   4.81   6.92   8.58   4.85  10.05
194512   1.29   2.54   1.29  -0.24   2.38   2.33   0.48  -1.00   3.46   1.53   4.55  -0.74
194601   4.85   6.67   9.47  -0.07   5.34   5.82   1.91  10.84  10.98   7.76   7.78   7.32
194602  -4.82  -8.94  -6.95  -4.67  -4.81  -6.79  -2.82  -5.73  -4.23  -4.31  -7.57  -5.83
194603   6.35   0.98   5.18  11.04   7.11   0.82   1.16   6.27  11.40  14.57   5.61   4.48
194604   3.54   1.42   3.65   8.77   5.81   0.99   1.59   4.34   7.20  14.67   0.96   1.86
194605   3.35   5.14   5.40   3.68   3.74   6.14   2.82   3.04   1.90   5.64   3.93   3.26
194606  -3.60  -5.92  -4.11  -3.15  -3.02  -4.74   0.30  -2.80  -7.69  -5.52  -2.71  -3.38
194607  -0.75  -4.75  -3.75  -0.06  -2.23  -3.35  -0.08  -3.63  -2.99  -3.22  -4.47  -5.05
194608  -5.27 -10.34  -6.67  -5.61  -6.15  -7.94  -7.00  -5.35  -4.83  -3.24  -6.58  -6.82
194609 -10.67 -14.88 -11.02  -8.05  -8.78 -10.23  -4.74  -8.97  -6.88  -7.03 -13.51 -14.55
